# Amod fmod z Delta_Amod Delta_fmod
8.000000000000003393e-11 1.832980710832437419e-10 1.684789473684210392e+00 4.555954782810980262e-05 6.406155163680926580e-05
8.000000000000003393e-11 1.832980710832437419e-10 1.895263157894736761e+00 4.056468641649262888e-05 6.370975021833618051e-05
8.000000000000003393e-11 1.832980710832437419e-10 2.105736842105263129e+00 6.336847009754091196e-05 8.998374107430016065e-05
8.000000000000003393e-11 1.832980710832437419e-10 2.316210526315789497e+00 2.227226465630787518e-04 2.642250679418212079e-04
8.000000000000003393e-11 1.832980710832437419e-10 2.526684210526315422e+00 6.747031935421018544e-04 7.773572903152704177e-04
8.000000000000003393e-11 1.832980710832437419e-10 2.737157894736841790e+00 2.852551261453432950e-04 3.389870060212763717e-04
8.000000000000003393e-11 1.832980710832437419e-10 2.947631578947368158e+00 2.569897079275271917e-03 2.951309015711699353e-03
8.000000000000003393e-11 1.832980710832437419e-10 3.158105263157894527e+00 1.469845179289273266e-04 1.986393124450651479e-04
8.000000000000003393e-11 1.832980710832437419e-10 3.368578947368420895e+00 1.340849001504336284e-04 1.920075118504269585e-04
8.000000000000003393e-11 1.832980710832437419e-10 3.579052631578947263e+00 2.129413259027570853e-04 2.771946739864329374e-04
8.000000000000003393e-11 1.832980710832437419e-10 3.789526315789473632e+00 1.382552316313695993e-04 2.100367207260939379e-04
8.000000000000003393e-11 1.832980710832437419e-10 4.000000000000000000e+00 1.366202046605551350e-04 2.163709865940635158e-04
8.000000000000003393e-11 3.359818286283787719e-10 1.000000000000000021e-03 1.135093595120975831e-09 3.173578921661976107e-09
8.000000000000003393e-11 3.359818286283787719e-10 2.114736842105263137e-01 6.265367445076822648e-07 1.455977042396605875e-06
8.000000000000003393e-11 3.359818286283787719e-10 4.219473684210526265e-01 2.096884036136914889e-05 4.439919607000558150e-05
8.000000000000003393e-11 3.359818286283787719e-10 6.324210526315788838e-01 2.507195764150208367e-06 5.898097665367694263e-06
8.000000000000003393e-11 3.359818286283787719e-10 8.428947368421052522e-01 2.327085395549880858e-06 6.200477822106483463e-06
8.000000000000003393e-11 3.359818286283787719e-10 1.053368421052631509e+00 3.943333537428248345e-05 8.351101635188658116e-05
8.000000000000003393e-11 3.359818286283787719e-10 1.263842105263157656e+00 5.448074196936162387e-06 1.358478027384414187e-05
8.000000000000003393e-11 3.359818286283787719e-10 1.474315789473684024e+00 7.479923504442881213e-06 1.832345754126389313e-05
8.000000000000003393e-11 3.359818286283787719e-10 1.684789473684210392e+00 1.043345346209686001e-05 2.491655789547888517e-05
8.000000000000003393e-11 3.359818286283787719e-10 1.895263157894736761e+00 1.329238895209501819e-05 3.143345521522338768e-05
