# Amod fmod z Delta_Amod Delta_fmod
8.000000000000003393e-11 1.832980710832437419e-10 2.114736842105263137e-01 7.512999953874492274e-05 8.640057786994965864e-05
8.000000000000003393e-11 1.832980710832437419e-10 4.219473684210526265e-01 2.984721269597867977e-04 3.427547048989903794e-04
8.000000000000003393e-11 1.832980710832437419e-10 6.324210526315788838e-01 2.494910529877858853e-04 2.871850937841045285e-04
8.000000000000003393e-11 1.832980710832437419e-10 8.428947368421052522e-01 2.591134468627806831e-05 3.918524316211588867e-05
8.000000000000003393e-11 1.832980710832437419e-10 1.053368421052631509e+00 9.042768177285162752e-05 1.106576070133184021e-04
8.000000000000003393e-11 1.832980710832437419e-10 1.263842105263157656e+00 1.198607680773488280e-04 1.467063602242694954e-04
8.000000000000003393e-11 1.832980710832437419e-10 1.474315789473684024e+00 1.257203835428213944e-03 1.445581800232297563e-03
8.000000000000003393e-11 1.832980710832437419e-10 1.684789473684210392e+00 9.435908041044908749e-05 1.326557685218867505e-04
8.000000000000003393e-11 1.832980710832437419e-10 1.895263157894736761e+00 8.398590034474021234e-05 1.318803928488500397e-04
8.000000000000003393e-11 1.832980710832437419e-10 2.105736842105263129e+00 1.311720686891755332e-04 1.862349488418483460e-04
8.000000000000003393e-11 1.832980710832437419e-10 2.316210526315789497e+00 4.611160205452141518e-04 5.470044121979345539e-04
8.000000000000003393e-11 1.832980710832437419e-10 2.526684210526315422e+00 1.393017139839605040e-03 1.604991652875022981e-03
8.000000000000003393e-11 1.832980710832437419e-10 2.737157894736841790e+00 5.903159415780430755e-04 7.014653574182019890e-04
8.000000000000003393e-11 1.832980710832437419e-10 2.947631578947368158e+00 5.289107601774681658e-03 6.074108086411293857e-03
8.000000000000003393e-11 1.832980710832437419e-10 3.158105263157894527e+00 3.039865124963659422e-04 4.107650398857796308e-04
8.000000000000003393e-11 1.832980710832437419e-10 3.368578947368420895e+00 2.772612965545125552e-04 3.969790507843721995e-04
8.000000000000003393e-11 1.832980710832437419e-10 3.579052631578947263e+00 4.402939773897240265e-04 5.730882314702557493e-04
8.000000000000003393e-11 1.832980710832437419e-10 3.789526315789473632e+00 2.858095217696653839e-04 4.341384293320923755e-04
8.000000000000003393e-11 1.832980710832437419e-10 4.000000000000000000e+00 2.823959207689414079e-04 4.471769246339948878e-04
8.000000000000003393e-11 3.359818286283787719e-10 1.000000000000000021e-03 2.365578224353864270e-09 6.609498448844252389e-09
8.000000000000003393e-11 3.359818286283787719e-10 2.114736842105263137e-01 1.304423921275346707e-06 3.030158054573982882e-06
8.000000000000003393e-11 3.359818286283787719e-10 4.219473684210526265e-01 4.377980747103678684e-05 9.269596307365629811e-05
8.000000000000003393e-11 3.359818286283787719e-10 6.324210526315788838e-01 5.208882709128572898e-06 1.224971280571640308e-05
8.000000000000003393e-11 3.359818286283787719e-10 8.428947368421052522e-01 4.829935323889482465e-06 1.286380927726529841e-05
8.000000000000003393e-11 3.359818286283787719e-10 1.053368421052631509e+00 8.123265509179951576e-05 1.720356553205558924e-04
8.000000000000003393e-11 3.359818286283787719e-10 1.263842105263157656e+00 1.129706621650895083e-05 2.815999734990808049e-05
8.000000000000003393e-11 3.359818286283787719e-10 1.474315789473684024e+00 1.550455669441883703e-05 3.797000052051696287e-05
8.000000000000003393e-11 3.359818286283787719e-10 1.684789473684210392e+00 2.162043469643956626e-05 5.161919766445339678e-05
8.000000000000003393e-11 3.359818286283787719e-10 1.895263157894736761e+00 2.753708114421160361e-05 6.510324614421399614e-05
8.000000000000003393e-11 3.359818286283787719e-10 2.105736842105263129e+00 7.570713597112285525e-05 1.643936576542594295e-04
8.000000000000003393e-11 3.359818286283787719e-10 2.316210526315789497e+00 2.718711805363436190e-05 6.954910823220205782e-05
8.000000000000003393e-11 3.359818286283787719e-10 2.526684210526315422e+00 1.096103313842449850e-04 2.372861672467707855e-04
8.000000000000003393e-11 3.359818286283787719e-10 2.737157894736841790e+00 2.942718952720961174e-05 8.014647906935498829e-05
8.000000000000003393e-11 3.359818286283787719e-10 2.947631578947368158e+00 4.769093780291434404e-05 1.169170945735578530e-04
8.000000000000003393e-11 3.359818286283787719e-10 3.158105263157894527e+00 3.974239128500764326e-05 1.059046470017934306e-04
8.000000000000003393e-11 3.359818286283787719e-10 3.368578947368420895e+00 5.578214365805656965e-05 1.389302093796521522e-04
8.000000000000003393e-11 3.359818286283787719e-10 3.579052631578947263e+00 7.460317399404198355e-05 1.780851937677671581e-04
8.000000000000003393e-11 3.359818286283787719e-10 3.789526315789473632e+00 1.826815077912051564e-04 3.948125986953400219e-04
8.000000000000003393e-11 3.359818286283787719e-10 4.000000000000000000e+00 5.174764234116660294e-05 1.444384172843992699e-04
8.000000000000003393e-11 6.158482110660254848e-10 1.000000000000000021e-03 1.448830726275211694e-09 5.832648045194160375e-09
8.000000000000003393e-11 6.158482110660254848e-10 2.114736842105263137e-01 6.176348545963413021e-07 2.479721005750715155e-06
8.000000000000003393e-11 6.158482110660254848e-10 4.219473684210526265e-01 1.482756925865806731e-06 5.892526137445800389e-06
8.000000000000003393e-11 6.158482110660254848e-10 6.324210526315788838e-01 6.833447604061973138e-06 2.704913873157203854e-05
8.000000000000003393e-11 6.158482110660254848e-10 8.428947368421052522e-01 3.124662324092849252e-06 1.248681841161352926e-05
8.000000000000003393e-11 6.158482110660254848e-10 1.053368421052631509e+00 2.320782363940934545e-06 9.645846608966184777e-06
8.000000000000003393e-11 6.158482110660254848e-10 1.263842105263157656e+00 2.643985904883017148e-06 1.119775478652412944e-05
8.000000000000003393e-11 6.158482110660254848e-10 1.474315789473684024e+00 6.365643251892169604e-06 2.557507863605523263e-05
8.000000000000003393e-11 6.158482110660254848e-10 1.684789473684210392e+00 7.000526939653341639e-06 2.881340626495486446e-05
8.000000000000003393e-11 6.158482110660254848e-10 1.895263157894736761e+00 2.134090971949192570e-05 8.501189002477022255e-05
8.000000000000003393e-11 6.158482110660254848e-10 2.105736842105263129e+00 8.621699705233302585e-06 3.591909879253829069e-05
8.000000000000003393e-11 6.158482110660254848e-10 2.316210526315789497e+00 1.284995501912182726e-05 5.168106537289365778e-05
8.000000000000003393e-11 6.158482110660254848e-10 2.526684210526315422e+00 5.375704169162486403e-05 2.130215411343794991e-04
8.000000000000003393e-11 6.158482110660254848e-10 2.737157894736841790e+00 2.567158859638141440e-05 1.031949548006721892e-04
8.000000000000003393e-11 6.158482110660254848e-10 2.947631578947368158e+00 8.679950183516409870e-06 3.903892499688684723e-05
8.000000000000003393e-11 6.158482110660254848e-10 3.158105263157894527e+00 1.005563857606684962e-05 4.493549111240153539e-05
8.000000000000003393e-11 6.158482110660254848e-10 3.368578947368420895e+00 2.014842887795311420e-05 8.343505931608885496e-05
8.000000000000003393e-11 6.158482110660254848e-10 3.579052631578947263e+00 3.108757937526810089e-05 1.242602569996790313e-04
8.000000000000003393e-11 6.158482110660254848e-10 3.789526315789473632e+00 3.180638264203825331e-05 1.295304151112552265e-04
