# Amod fmod z Delta_Amod Delta_fmod
7.999999999999999516e-11 1.000000000000000036e-10 3.579052631578947263e+00 1.673302209174212666e-03 1.076806146855738755e-03
7.999999999999999516e-11 1.000000000000000036e-10 3.789526315789473632e+00 nan nan
7.999999999999999516e-11 1.000000000000000036e-10 4.000000000000000000e+00 2.907137339582348528e-03 1.844316882452322077e-03
7.999999999999999516e-11 1.832980710832437419e-10 1.000000000000000021e-03 7.664101145938210654e-09 1.105154903981440861e-08
7.999999999999999516e-11 1.832980710832437419e-10 2.114736842105263137e-01 3.948563178792203474e-06 4.834208031984948796e-06
7.999999999999999516e-11 1.832980710832437419e-10 4.219473684210526265e-01 1.942893685783695897e-04 2.229287846835696445e-04
7.999999999999999516e-11 1.832980710832437419e-10 6.324210526315788838e-01 6.237428453034090758e-05 7.181407412622375507e-05
7.999999999999999516e-11 1.832980710832437419e-10 8.428947368421052522e-01 9.205467275703165268e-05 1.059870585318620152e-04
7.999999999999999516e-11 1.832980710832437419e-10 1.053368421052631509e+00 1.207334088490861792e-05 1.844115276041623992e-05
7.999999999999999516e-11 1.832980710832437419e-10 1.263842105263157656e+00 3.708562730798562824e-05 4.555954078160616324e-05
7.999999999999999516e-11 1.832980710832437419e-10 1.474315789473684024e+00 5.130456680030977338e-05 6.224105562980932827e-05
7.999999999999999516e-11 1.832980710832437419e-10 1.684789473684210392e+00 1.279747907809964487e-03 1.468794636594814886e-03
7.999999999999999516e-11 1.832980710832437419e-10 1.895263157894736761e+00 1.037356141385162550e-04 1.225033426211808189e-04
7.999999999999999516e-11 1.832980710832437419e-10 2.105736842105263129e+00 6.672372467236896507e-05 8.359071398306096475e-05
7.999999999999999516e-11 1.832980710832437419e-10 2.316210526315789497e+00 6.927484325925575891e-05 8.827884080485902971e-05
7.999999999999999516e-11 1.832980710832437419e-10 2.526684210526315422e+00 3.244453580723376512e-04 3.748482615380658895e-04
7.999999999999999516e-11 1.832980710832437419e-10 2.737157894736841790e+00 2.003472873403540095e-04 2.351846461642749086e-04
7.999999999999999516e-11 1.832980710832437419e-10 2.947631578947368158e+00 1.630867425662127545e-03 1.872614563391616221e-03
7.999999999999999516e-11 1.832980710832437419e-10 3.158105263157894527e+00 1.483590792720627114e-03 1.703572812425221484e-03
7.999999999999999516e-11 1.832980710832437419e-10 3.368578947368420895e+00 1.243570742560038409e-04 1.575332570904505833e-04
7.999999999999999516e-11 1.832980710832437419e-10 3.579052631578947263e+00 1.113829225097511802e-03 1.280703429077689401e-03
