# Amod fmod z Delta_Amod Delta_fmod
8.000000000000003393e-11 6.951927961775591174e-09 3.789526315789473632e+00 2.182174226806155139e-08 1.232532493604541897e-06
8.000000000000003393e-11 6.951927961775591174e-09 4.000000000000000000e+00 2.391861675989000970e-08 1.346453883214407591e-06
8.000000000000003393e-11 1.274274985703132061e-08 1.000000000000000021e-03 7.543219889309215835e-13 1.234234816247841329e-10
8.000000000000003393e-11 1.274274985703132061e-08 2.114736842105263137e-01 2.013629584102917214e-10 3.452286171746361717e-08
8.000000000000003393e-11 1.274274985703132061e-08 4.219473684210526265e-01 5.171655303842407239e-10 8.352986531129123302e-08
8.000000000000003393e-11 1.274274985703132061e-08 6.324210526315788838e-01 1.417028450367042101e-09 1.445529977914764266e-07
8.000000000000003393e-11 1.274274985703132061e-08 8.428947368421052522e-01 2.239651026767401795e-09 2.153621923608234902e-07
8.000000000000003393e-11 1.274274985703132061e-08 1.053368421052631509e+00 1.589391985185039973e-09 2.912293029657848526e-07
8.000000000000003393e-11 1.274274985703132061e-08 1.263842105263157656e+00 2.853181965732476943e-09 4.010681295070086898e-07
8.000000000000003393e-11 1.274274985703132061e-08 1.474315789473684024e+00 2.797324031809785542e-09 4.953346026330061381e-07
8.000000000000003393e-11 1.274274985703132061e-08 1.684789473684210392e+00 3.359792045493861512e-09 6.068841216781165372e-07
8.000000000000003393e-11 1.274274985703132061e-08 1.895263157894736761e+00 4.994606458672868459e-09 7.417097124077562642e-07
8.000000000000003393e-11 1.274274985703132061e-08 2.105736842105263129e+00 6.878297952603183178e-09 8.799397099453822404e-07
8.000000000000003393e-11 1.274274985703132061e-08 2.316210526315789497e+00 1.069161767903710050e-08 1.020752272265904938e-06
8.000000000000003393e-11 1.274274985703132061e-08 2.526684210526315422e+00 6.385933280360198923e-09 1.149731365469267622e-06
8.000000000000003393e-11 1.274274985703132061e-08 2.737157894736841790e+00 9.945457273028273213e-09 1.324171983902998609e-06
8.000000000000003393e-11 1.274274985703132061e-08 2.947631578947368158e+00 8.459726362874256197e-09 1.473821155808637955e-06
8.000000000000003393e-11 1.274274985703132061e-08 3.158105263157894527e+00 1.241868830614952716e-08 1.659916997146957373e-06
8.000000000000003393e-11 1.274274985703132061e-08 3.368578947368420895e+00 1.989182225197708819e-08 1.850624559730959527e-06
8.000000000000003393e-11 1.274274985703132061e-08 3.579052631578947263e+00 1.986379211861258283e-08 2.036336582965791861e-06
8.000000000000003393e-11 1.274274985703132061e-08 3.789526315789473632e+00 1.220156283701781995e-08 2.208650608401640686e-06
8.000000000000003393e-11 1.274274985703132061e-08 4.000000000000000000e+00 1.450050671653824735e-08 2.413834867754703427e-06
8.000000000000003393e-11 2.335721469090121435e-08 1.000000000000000021e-03 8.176989533263015923e-13 2.050655532128990813e-10
8.000000000000003393e-11 2.335721469090121435e-08 2.114736842105263137e-01 2.153838047538397121e-10 5.563841823298687355e-08
8.000000000000003393e-11 2.335721469090121435e-08 4.219473684210526265e-01 5.519776274925564282e-10 1.264671948721803289e-07
8.000000000000003393e-11 2.335721469090121435e-08 6.324210526315788838e-01 8.226498565543552161e-10 2.347727258562557487e-07
8.000000000000003393e-11 2.335721469090121435e-08 8.428947368421052522e-01 1.868770399062599301e-09 3.467503139836741072e-07
8.000000000000003393e-11 2.335721469090121435e-08 1.053368421052631509e+00 1.697154304752743022e-09 5.083833171075721441e-07
8.000000000000003393e-11 2.335721469090121435e-08 1.263842105263157656e+00 2.204327131359723019e-09 6.753383695000730821e-07
8.000000000000003393e-11 2.335721469090121435e-08 1.474315789473684024e+00 3.114883033910963657e-09 8.641761254381508988e-07
8.000000000000003393e-11 2.335721469090121435e-08 1.684789473684210392e+00 5.343636043864146629e-09 1.011643710436559652e-06
8.000000000000003393e-11 2.335721469090121435e-08 1.895263157894736761e+00 4.021053077041485095e-09 1.297074720934470494e-06
8.000000000000003393e-11 2.335721469090121435e-08 2.105736842105263129e+00 7.194089040205676996e-09 1.471334441285528980e-06
8.000000000000003393e-11 2.335721469090121435e-08 2.316210526315789497e+00 9.612592607234399830e-09 1.643665150290003365e-06
8.000000000000003393e-11 2.335721469090121435e-08 2.526684210526315422e+00 8.135769184283353370e-09 2.058064195692363531e-06
8.000000000000003393e-11 2.335721469090121435e-08 2.737157894736841790e+00 1.242349149156215653e-08 2.170828986975577759e-06
8.000000000000003393e-11 2.335721469090121435e-08 2.947631578947368158e+00 8.953336892238642754e-09 2.718440610298325664e-06
8.000000000000003393e-11 2.335721469090121435e-08 3.158105263157894527e+00 1.141262980052750843e-08 3.005892520652322798e-06
8.000000000000003393e-11 2.335721469090121435e-08 3.368578947368420895e+00 9.789990204130847834e-09 3.380863713060642135e-06
8.000000000000003393e-11 2.335721469090121435e-08 3.579052631578947263e+00 1.475782385617172835e-08 3.682190564819994544e-06
8.000000000000003393e-11 2.335721469090121435e-08 3.789526315789473632e+00 2.018253912420385707e-08 3.801689286941369814e-06
8.000000000000003393e-11 2.335721469090121435e-08 4.000000000000000000e+00 1.297833933326275167e-08 4.600235075694861665e-06
8.000000000000003393e-11 4.281332398719395868e-08 1.000000000000000021e-03 9.682431575870652904e-13 2.873693114979268837e-10
8.000000000000003393e-11 4.281332398719395868e-08 2.114736842105263137e-01 2.519931908240359499e-10 8.000471175980372542e-08
8.000000000000003393e-11 4.281332398719395868e-08 4.219473684210526265e-01 5.977208268115057244e-10 1.993437131374233989e-07
8.000000000000003393e-11 4.281332398719395868e-08 6.324210526315788838e-01 9.788905238586113985e-10 3.715447444718377516e-07
8.000000000000003393e-11 4.281332398719395868e-08 8.428947368421052522e-01 1.457614968696212919e-09 5.751207708993531846e-07
8.000000000000003393e-11 4.281332398719395868e-08 1.053368421052631509e+00 2.004537353158575283e-09 8.160838272248579173e-07
8.000000000000003393e-11 4.281332398719395868e-08 1.263842105263157656e+00 2.563025219993290113e-09 1.123184067247020654e-06
8.000000000000003393e-11 4.281332398719395868e-08 1.474315789473684024e+00 3.826923327531927146e-09 1.445635319144180975e-06
8.000000000000003393e-11 4.281332398719395868e-08 1.684789473684210392e+00 3.912006293611814904e-09 1.799157040571627895e-06
8.000000000000003393e-11 4.281332398719395868e-08 1.895263157894736761e+00 5.705601704420737277e-09 2.224538744363544407e-06
8.000000000000003393e-11 4.281332398719395868e-08 2.105736842105263129e+00 5.206922416429688787e-09 2.381703899699093410e-06
8.000000000000003393e-11 4.281332398719395868e-08 2.316210526315789497e+00 5.988821195387898959e-09 2.741530216904458659e-06
8.000000000000003393e-11 4.281332398719395868e-08 2.526684210526315422e+00 6.767834752731148603e-09 3.197187958173380665e-06
8.000000000000003393e-11 4.281332398719395868e-08 2.737157894736841790e+00 1.009205423299053474e-08 4.050068474799320612e-06
8.000000000000003393e-11 4.281332398719395868e-08 2.947631578947368158e+00 8.814325824212110895e-09 3.802030672919086296e-06
8.000000000000003393e-11 4.281332398719395868e-08 3.158105263157894527e+00 1.139857287911468665e-08 4.870244722309529341e-06
8.000000000000003393e-11 4.281332398719395868e-08 3.368578947368420895e+00 1.780547126181748120e-08 5.891018631486693633e-06
8.000000000000003393e-11 4.281332398719395868e-08 3.579052631578947263e+00 1.424898986025777742e-08 5.886704866876041682e-06
8.000000000000003393e-11 4.281332398719395868e-08 3.789526315789473632e+00 1.338677102892008461e-08 5.420608899593877266e-06
8.000000000000003393e-11 4.281332398719395868e-08 4.000000000000000000e+00 1.441848242829242614e-08 5.903365769105510565e-06
