# Amod fmod z Delta_Amod Delta_fmod
8.000000000000003393e-11 1.832980710832437419e-10 1.000000000000000021e-03 9.915212220065930527e-09 1.209739243938693948e-08
8.000000000000003393e-11 1.832980710832437419e-10 2.114736842105263137e-01 1.486116428058064249e-06 2.012473979804527936e-06
8.000000000000003393e-11 1.832980710832437419e-10 4.219473684210526265e-01 3.155948243720155711e-05 3.635770347905365325e-05
8.000000000000003393e-11 1.832980710832437419e-10 6.324210526315788838e-01 5.689676836817525712e-05 6.553846638058076967e-05
8.000000000000003393e-11 1.832980710832437419e-10 8.428947368421052522e-01 4.184215919356320184e-05 4.863169192533354634e-05
8.000000000000003393e-11 1.832980710832437419e-10 1.053368421052631509e+00 1.463198618908955132e-05 1.943379742250070355e-05
8.000000000000003393e-11 1.832980710832437419e-10 1.263842105263157656e+00 5.267964918159455563e-04 6.049072728165966932e-04
8.000000000000003393e-11 1.832980710832437419e-10 1.474315789473684024e+00 3.276025346940976581e-05 4.119535394482965027e-05
8.000000000000003393e-11 1.832980710832437419e-10 1.684789473684210392e+00 1.858140630122877976e-05 2.892797581544864020e-05
8.000000000000003393e-11 1.832980710832437419e-10 1.895263157894736761e+00 4.656859364138734827e-05 5.902761861765309768e-05
8.000000000000003393e-11 1.832980710832437419e-10 2.105736842105263129e+00 2.724041977409638647e-04 3.138577673531233857e-04
8.000000000000003393e-11 1.832980710832437419e-10 2.316210526315789497e+00 3.532329246081674637e-04 4.066829266828873336e-04
8.000000000000003393e-11 1.832980710832437419e-10 2.526684210526315422e+00 8.395970232235985592e-05 1.044377464482458822e-04
8.000000000000003393e-11 1.832980710832437419e-10 2.737157894736841790e+00 1.076775478086638505e-03 1.236723076785818708e-03
8.000000000000003393e-11 1.832980710832437419e-10 2.947631578947368158e+00 1.040769845520793336e-03 1.195574693849424559e-03
8.000000000000003393e-11 1.832980710832437419e-10 3.158105263157894527e+00 9.709070902995739364e-05 1.252849946523059419e-04
8.000000000000003393e-11 1.832980710832437419e-10 3.368578947368420895e+00 8.795060651473962177e-04 1.011178053954343977e-03
8.000000000000003393e-11 1.832980710832437419e-10 3.579052631578947263e+00 6.645473696192490045e-05 1.015760446490526075e-04
8.000000000000003393e-11 1.832980710832437419e-10 3.789526315789473632e+00 2.410910996757588409e-03 2.768560299723993225e-03
8.000000000000003393e-11 1.832980710832437419e-10 4.000000000000000000e+00 1.098905231815702847e-04 1.510045513257876420e-04
8.000000000000003393e-11 3.359818286283787719e-10 1.000000000000000021e-03 1.156003299457781906e-08 2.446974291994151719e-08
8.000000000000003393e-11 3.359818286283787719e-10 2.114736842105263137e-01 1.384156819418175060e-06 2.940949190662389936e-06
8.000000000000003393e-11 3.359818286283787719e-10 4.219473684210526265e-01 1.089340339612265482e-06 2.447190181720235404e-06
8.000000000000003393e-11 3.359818286283787719e-10 6.324210526315788838e-01 9.380571225469013934e-07 2.409866290077915074e-06
8.000000000000003393e-11 3.359818286283787719e-10 8.428947368421052522e-01 2.671352905367001360e-05 5.658246397445598400e-05
8.000000000000003393e-11 3.359818286283787719e-10 1.053368421052631509e+00 2.527904657046369366e-06 6.122037723223737551e-06
8.000000000000003393e-11 3.359818286283787719e-10 1.263842105263157656e+00 3.578114219729608884e-06 8.548310248858633777e-06
8.000000000000003393e-11 3.359818286283787719e-10 1.474315789473684024e+00 3.269518722088459269e-05 6.944624694611611546e-05
8.000000000000003393e-11 3.359818286283787719e-10 1.684789473684210392e+00 3.791372713139205460e-06 1.003844859030232953e-05
8.000000000000003393e-11 3.359818286283787719e-10 1.895263157894736761e+00 2.562495031160229902e-05 5.487300493326575197e-05
8.000000000000003393e-11 3.359818286283787719e-10 2.105736842105263129e+00 3.151417950912603920e-05 6.709355167362868427e-05
8.000000000000003393e-11 3.359818286283787719e-10 2.316210526315789497e+00 1.659794219846474317e-05 3.677910197653748594e-05
8.000000000000003393e-11 3.359818286283787719e-10 2.526684210526315422e+00 5.672837937397844262e-05 1.208457411326692996e-04
8.000000000000003393e-11 3.359818286283787719e-10 2.737157894736841790e+00 1.506798280519293506e-04 3.192931066500211785e-04
8.000000000000003393e-11 3.359818286283787719e-10 2.947631578947368158e+00 3.822041850120157193e-05 8.200518708464263015e-05
8.000000000000003393e-11 3.359818286283787719e-10 3.158105263157894527e+00 2.781681700311513736e-05 6.160422384629896109e-05
8.000000000000003393e-11 3.359818286283787719e-10 3.368578947368420895e+00 8.219206426031404496e-05 1.753284229906729099e-04
8.000000000000003393e-11 3.359818286283787719e-10 3.579052631578947263e+00 1.717626545337555845e-05 4.206353462415248450e-05
8.000000000000003393e-11 3.359818286283787719e-10 3.789526315789473632e+00 6.923136244628622896e-05 1.478496858293460868e-04
8.000000000000003393e-11 3.359818286283787719e-10 4.000000000000000000e+00 3.676967334295447965e-05 8.225215573170183755e-05
8.000000000000003393e-11 6.158482110660254848e-10 1.000000000000000021e-03 2.586421220567558815e-10 1.094157513282674477e-09
8.000000000000003393e-11 6.158482110660254848e-10 2.114736842105263137e-01 6.278982551002547938e-08 2.693327410916719743e-07
8.000000000000003393e-11 6.158482110660254848e-10 4.219473684210526265e-01 2.592340883363197575e-07 1.058880102617292799e-06
8.000000000000003393e-11 6.158482110660254848e-10 6.324210526315788838e-01 1.588259089434764476e-06 6.293697171903892989e-06
8.000000000000003393e-11 6.158482110660254848e-10 8.428947368421052522e-01 4.801616844804530758e-07 2.020505112798662160e-06
8.000000000000003393e-11 6.158482110660254848e-10 1.053368421052631509e+00 6.613026925137549667e-07 2.788230063928081444e-06
8.000000000000003393e-11 6.158482110660254848e-10 1.263842105263157656e+00 6.508997742960106049e-07 2.786383108118826697e-06
8.000000000000003393e-11 6.158482110660254848e-10 1.474315789473684024e+00 1.565975737122910296e-06 6.313067765370474022e-06
8.000000000000003393e-11 6.158482110660254848e-10 1.684789473684210392e+00 2.820117611152620030e-06 1.122761110428114074e-05
8.000000000000003393e-11 6.158482110660254848e-10 1.895263157894736761e+00 1.410032359801007945e-06 6.072764417769952631e-06
8.000000000000003393e-11 6.158482110660254848e-10 2.105736842105263129e+00 1.240893847683510982e-06 5.634589394070240714e-06
